"measure","value"
"LIFT computed using virtual temperature","-2.37"
"SWEAT index","222.81"
"K index","34.10"
"Cross totals index","21.50"
"Vertical totals index","22.70"
"Totals totals index","44.20"
"Convective Available Potential Energy","901.29"
"CAPE using virtual temperature","1024.81"
"Convective Inhibition","-56.44"
"CINS using virtual temperature","-32.59"
"Equilibrum Level","146.67"
"Equilibrum Level using virtual temperature","146.66"
"Level of Free Convection","715.22"
"LFCT using virtual temperature","779.00"
"Bulk Richardson Number","88.76"
"Bulk Richardson Number using CAPV","100.92"
"Temp [K] of the Lifted Condensation Level","294.13"
"Pres [hPa] of the Lifted Condensation Level","919.35"
"Mean mixed layer potential temperature","301.30"
"Mean mixed layer mixing ratio","17.35"
"1000 hPa to 500 hPa thickness","5805.00"
"Precipitable water [mm] for entire sounding","57.35"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150319/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","3.59"
"Lifted index","-0.13"
"LIFT computed using virtual temperature","-0.59"
"SWEAT index","151.60"
"K index","30.50"
"Cross totals index","16.30"
"Vertical totals index","23.30"
"Totals totals index","39.60"
"Convective Available Potential Energy","48.59"
"CAPE using virtual temperature","112.09"
"Convective Inhibition","-160.21"
"CINS using virtual temperature","-111.63"
"Equilibrum Level","345.79"
"Equilibrum Level using virtual temperature","340.17"
"Level of Free Convection","622.22"
"LFCT using virtual temperature","672.18"
"Bulk Richardson Number","4.27"
"Bulk Richardson Number using CAPV","9.85"
"Temp [K] of the Lifted Condensation Level","293.46"
"Pres [hPa] of the Lifted Condensation Level","938.36"
"Mean mixed layer potential temperature","298.85"
"Mean mixed layer mixing ratio","16.28"
"1000 hPa to 500 hPa thickness","5790.00"
"Precipitable water [mm] for entire sounding","51.60"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150319/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.24"
"Lifted index","-2.44"
"LIFT computed using virtual temperature","-2.87"
"SWEAT index","214.41"
"K index","37.20"
"Cross totals index","21.60"
"Vertical totals index","23.30"
"Totals totals index","44.90"
"Convective Available Potential Energy","848.67"
"CAPE using virtual temperature","958.59"
"Convective Inhibition","-31.74"
"CINS using virtual temperature","-22.24"
"Equilibrum Level","171.86"
"Equilibrum Level using virtual temperature","170.97"
"Level of Free Convection","799.65"
"LFCT using virtual temperature","833.06"
"Bulk Richardson Number","44.21"
"Bulk Richardson Number using CAPV","49.93"
"Temp [K] of the Lifted Condensation Level","293.44"
"Pres [hPa] of the Lifted Condensation Level","906.30"
"Mean mixed layer potential temperature","301.81"
"Mean mixed layer mixing ratio","16.85"
"1000 hPa to 500 hPa thickness","5799.00"
"Precipitable water [mm] for entire sounding","59.31"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150320/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.72"
"Lifted index","-0.63"
"LIFT computed using virtual temperature","-0.85"
"SWEAT index","198.00"
"K index","36.20"
"Cross totals index","20.20"
"Vertical totals index","21.90"
"Totals totals index","42.10"
"Convective Available Potential Energy","141.55"
"CAPE using virtual temperature","209.15"
"Convective Inhibition","-42.15"
"CINS using virtual temperature","-32.64"
"Equilibrum Level","256.12"
"Equilibrum Level using virtual temperature","254.71"
"Level of Free Convection","768.82"
"LFCT using virtual temperature","788.31"
"Bulk Richardson Number","98.74"
"Bulk Richardson Number using CAPV","145.90"
"Temp [K] of the Lifted Condensation Level","293.41"
"Pres [hPa] of the Lifted Condensation Level","932.22"
"Mean mixed layer potential temperature","299.37"
"Mean mixed layer mixing ratio","16.35"
"1000 hPa to 500 hPa thickness","5781.00"
"Precipitable water [mm] for entire sounding","58.85"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150302/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.53"
"Lifted index","-0.43"
"LIFT computed using virtual temperature","-0.69"
"SWEAT index","220.41"
"K index","35.00"
"Cross totals index","20.10"
"Vertical totals index","22.70"
"Totals totals index","42.80"
"Convective Available Potential Energy","51.14"
"CAPE using virtual temperature","88.24"
"Convective Inhibition","-56.10"
"CINS using virtual temperature","-47.11"
"Equilibrum Level","446.78"
"Equilibrum Level using virtual temperature","408.05"
"Level of Free Convection","776.39"
"LFCT using virtual temperature","789.41"
"Bulk Richardson Number","2.29"
"Bulk Richardson Number using CAPV","3.95"
"Temp [K] of the Lifted Condensation Level","292.25"
"Pres [hPa] of the Lifted Condensation Level","909.11"
"Mean mixed layer potential temperature","300.33"
"Mean mixed layer mixing ratio","15.59"
"1000 hPa to 500 hPa thickness","5854.00"
"Precipitable water [mm] for entire sounding","57.92"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150320/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.92"
"Lifted index","0.84"
"LIFT computed using virtual temperature","0.75"
"SWEAT index","225.40"
"K index","37.10"
"Cross totals index","20.00"
"Vertical totals index","21.50"
"Totals totals index","41.50"
"Convective Available Potential Energy","0.66"
"CAPE using virtual temperature","0.96"
"Convective Inhibition","-93.35"
"CINS using virtual temperature","-92.30"
"Equilibrum Level","559.59"
"Equilibrum Level using virtual temperature","557.73"
"Level of Free Convection","609.26"
"LFCT using virtual temperature","613.47"
"Bulk Richardson Number","0.09"
"Bulk Richardson Number using CAPV","0.13"
"Temp [K] of the Lifted Condensation Level","293.80"
"Pres [hPa] of the Lifted Condensation Level","960.21"
"Mean mixed layer potential temperature","297.24"
"Mean mixed layer mixing ratio","16.25"
"1000 hPa to 500 hPa thickness","5774.00"
"Precipitable water [mm] for entire sounding","64.17"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150321/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.73"
"Lifted index","0.78"
"LIFT computed using virtual temperature","0.60"
"SWEAT index","204.81"
"K index","34.40"
"Cross totals index","19.90"
"Vertical totals index","22.30"
"Totals totals index","42.20"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","292.38"
"Pres [hPa] of the Lifted Condensation Level","925.54"
"Mean mixed layer potential temperature","298.93"
"Mean mixed layer mixing ratio","15.43"
"1000 hPa to 500 hPa thickness","5781.00"
"Precipitable water [mm] for entire sounding","56.97"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150321/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.07"
"Lifted index","-3.40"
"LIFT computed using virtual temperature","-3.75"
"SWEAT index","212.81"
"K index","37.80"
"Cross totals index","20.80"
"Vertical totals index","22.50"
"Totals totals index","43.30"
"Convective Available Potential Energy","1593.79"
"CAPE using virtual temperature","1701.53"
"Convective Inhibition","-27.82"
"CINS using virtual temperature","-17.35"
"Equilibrum Level","138.85"
"Equilibrum Level using virtual temperature","138.67"
"Level of Free Convection","880.80"
"LFCT using virtual temperature","893.48"
"Bulk Richardson Number","10301.66"
"Bulk Richardson Number using CAPV","10998.00"
"Temp [K] of the Lifted Condensation Level","294.86"
"Pres [hPa] of the Lifted Condensation Level","927.03"
"Mean mixed layer potential temperature","301.33"
"Mean mixed layer mixing ratio","18.05"
"1000 hPa to 500 hPa thickness","5783.00"
"Precipitable water [mm] for entire sounding","63.32"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150322/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.69"
"Lifted index","-1.55"
"LIFT computed using virtual temperature","-1.76"
"SWEAT index","224.81"
"K index","37.30"
"Cross totals index","21.70"
"Vertical totals index","22.30"
"Totals totals index","44.00"
"Convective Available Potential Energy","422.54"
"CAPE using virtual temperature","487.26"
"Convective Inhibition","-25.19"
"CINS using virtual temperature","-19.41"
"Equilibrum Level","226.19"
"Equilibrum Level using virtual temperature","226.53"
"Level of Free Convection","858.33"
"LFCT using virtual temperature","866.43"
"Bulk Richardson Number","69.75"
"Bulk Richardson Number using CAPV","80.43"
"Temp [K] of the Lifted Condensation Level","294.15"
"Pres [hPa] of the Lifted Condensation Level","946.51"
"Mean mixed layer potential temperature","298.82"
"Mean mixed layer mixing ratio","16.87"
"1000 hPa to 500 hPa thickness","5765.00"
"Precipitable water [mm] for entire sounding","60.81"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150323/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.96"
"Lifted index","-0.14"
"LIFT computed using virtual temperature","-0.27"
"SWEAT index","225.21"
"K index","36.90"
"Cross totals index","21.50"
"Vertical totals index","23.90"
"Totals totals index","45.40"
"Convective Available Potential Energy","12.41"
"CAPE using virtual temperature","27.89"
"Convective Inhibition","-162.07"
"CINS using virtual temperature","-147.46"
"Equilibrum Level","426.51"
"Equilibrum Level using virtual temperature","425.64"
"Level of Free Convection","649.16"
"LFCT using virtual temperature","668.08"
"Bulk Richardson Number","10.69"
"Bulk Richardson Number using CAPV","24.02"
"Temp [K] of the Lifted Condensation Level","292.25"
"Pres [hPa] of the Lifted Condensation Level","929.69"
"Mean mixed layer potential temperature","298.41"
"Mean mixed layer mixing ratio","15.22"
"1000 hPa to 500 hPa thickness","5766.00"
"Precipitable water [mm] for entire sounding","55.49"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150323/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.37"
"Lifted index","-0.47"
"LIFT computed using virtual temperature","-0.62"
"SWEAT index","190.41"
"K index","31.20"
"Cross totals index","20.60"
"Vertical totals index","24.50"
"Totals totals index","45.10"
"Convective Available Potential Energy","23.20"
"CAPE using virtual temperature","44.49"
"Convective Inhibition","-192.28"
"CINS using virtual temperature","-145.96"
"Equilibrum Level","363.52"
"Equilibrum Level using virtual temperature","361.89"
"Level of Free Convection","581.23"
"LFCT using virtual temperature","670.36"
"Bulk Richardson Number","3.23"
"Bulk Richardson Number using CAPV","6.20"
"Temp [K] of the Lifted Condensation Level","291.26"
"Pres [hPa] of the Lifted Condensation Level","899.89"
"Mean mixed layer potential temperature","300.19"
"Mean mixed layer mixing ratio","14.80"
"1000 hPa to 500 hPa thickness","5781.00"
"Precipitable water [mm] for entire sounding","52.42"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150324/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.95"
"Lifted index","2.53"
"LIFT computed using virtual temperature","2.41"
"SWEAT index","180.81"
"K index","32.50"
"Cross totals index","18.30"
"Vertical totals index","23.30"
"Totals totals index","41.60"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","290.02"
"Pres [hPa] of the Lifted Condensation Level","900.41"
"Mean mixed layer potential temperature","298.85"
"Mean mixed layer mixing ratio","13.63"
"1000 hPa to 500 hPa thickness","5766.00"
"Precipitable water [mm] for entire sounding","48.10"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150324/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.45"
"Lifted index","-3.41"
"LIFT computed using virtual temperature","-3.94"
"SWEAT index","202.00"
"K index","37.50"
"Cross totals index","20.90"
"Vertical totals index","23.10"
"Totals totals index","44.00"
"Convective Available Potential Energy","1562.10"
"CAPE using virtual temperature","1753.35"
"Convective Inhibition","-15.68"
"CINS using virtual temperature","-7.99"
"Equilibrum Level","154.31"
"Equilibrum Level using virtual temperature","154.18"
"Level of Free Convection","874.51"
"LFCT using virtual temperature","895.90"
"Bulk Richardson Number","1379.08"
"Bulk Richardson Number using CAPV","1547.92"
"Temp [K] of the Lifted Condensation Level","294.95"
"Pres [hPa] of the Lifted Condensation Level","929.46"
"Mean mixed layer potential temperature","301.20"
"Mean mixed layer mixing ratio","18.09"
"1000 hPa to 500 hPa thickness","5792.00"
"Precipitable water [mm] for entire sounding","53.96"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150325/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.38"
"Lifted index","-0.28"
"LIFT computed using virtual temperature","-0.48"
"SWEAT index","178.80"
"K index","32.20"
"Cross totals index","20.00"
"Vertical totals index","24.30"
"Totals totals index","44.30"
"Convective Available Potential Energy","24.75"
"CAPE using virtual temperature","51.74"
"Convective Inhibition","-244.28"
"CINS using virtual temperature","-173.87"
"Equilibrum Level","449.01"
"Equilibrum Level using virtual temperature","441.44"
"Level of Free Convection","606.07"
"LFCT using virtual temperature","636.42"
"Bulk Richardson Number","10.18"
"Bulk Richardson Number using CAPV","21.29"
"Temp [K] of the Lifted Condensation Level","292.03"
"Pres [hPa] of the Lifted Condensation Level","925.20"
"Mean mixed layer potential temperature","298.61"
"Mean mixed layer mixing ratio","15.10"
"1000 hPa to 500 hPa thickness","5767.00"
"Precipitable water [mm] for entire sounding","45.93"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150325/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.97"
"Lifted index","-2.34"
"LIFT computed using virtual temperature","-2.79"
"SWEAT index","224.40"
"K index","36.80"
"Cross totals index","22.40"
"Vertical totals index","22.90"
"Totals totals index","45.30"
"Convective Available Potential Energy","839.87"
"CAPE using virtual temperature","973.91"
"Convective Inhibition","-39.17"
"CINS using virtual temperature","-35.37"
"Equilibrum Level","175.63"
"Equilibrum Level using virtual temperature","175.52"
"Level of Free Convection","842.63"
"LFCT using virtual temperature","847.40"
"Bulk Richardson Number","51.99"
"Bulk Richardson Number using CAPV","60.29"
"Temp [K] of the Lifted Condensation Level","293.97"
"Pres [hPa] of the Lifted Condensation Level","918.38"
"Mean mixed layer potential temperature","301.22"
"Mean mixed layer mixing ratio","17.19"
"1000 hPa to 500 hPa thickness","5790.00"
"Precipitable water [mm] for entire sounding","59.22"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150303/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.60"
"Lifted index","0.35"
"LIFT computed using virtual temperature","0.17"
"SWEAT index","202.01"
"K index","34.40"
"Cross totals index","19.40"
"Vertical totals index","21.90"
"Totals totals index","41.30"
"Convective Available Potential Energy","41.58"
"CAPE using virtual temperature","65.36"
"Convective Inhibition","-65.80"
"CINS using virtual temperature","-50.94"
"Equilibrum Level","414.11"
"Equilibrum Level using virtual temperature","408.84"
"Level of Free Convection","745.11"
"LFCT using virtual temperature","768.90"
"Bulk Richardson Number","8.53"
"Bulk Richardson Number using CAPV","13.40"
"Temp [K] of the Lifted Condensation Level","292.70"
"Pres [hPa] of the Lifted Condensation Level","933.03"
"Mean mixed layer potential temperature","298.56"
"Mean mixed layer mixing ratio","15.61"
"1000 hPa to 500 hPa thickness","5764.00"
"Precipitable water [mm] for entire sounding","56.37"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150326/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","2.75"
"Lifted index","1.60"
"LIFT computed using virtual temperature","1.45"
"SWEAT index","162.81"
"K index","30.70"
"Cross totals index","17.30"
"Vertical totals index","24.30"
"Totals totals index","41.60"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","289.27"
"Pres [hPa] of the Lifted Condensation Level","883.70"
"Mean mixed layer potential temperature","299.68"
"Mean mixed layer mixing ratio","13.27"
"1000 hPa to 500 hPa thickness","5773.00"
"Precipitable water [mm] for entire sounding","41.28"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150326/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.03"
"Lifted index","-2.63"
"LIFT computed using virtual temperature","-3.17"
"SWEAT index","211.20"
"K index","35.70"
"Cross totals index","21.30"
"Vertical totals index","23.30"
"Totals totals index","44.60"
"Convective Available Potential Energy","1081.31"
"CAPE using virtual temperature","1241.12"
"Convective Inhibition","-41.42"
"CINS using virtual temperature","-30.09"
"Equilibrum Level","177.29"
"Equilibrum Level using virtual temperature","177.27"
"Level of Free Convection","836.42"
"LFCT using virtual temperature","848.82"
"Bulk Richardson Number","70.87"
"Bulk Richardson Number using CAPV","81.34"
"Temp [K] of the Lifted Condensation Level","294.07"
"Pres [hPa] of the Lifted Condensation Level","916.04"
"Mean mixed layer potential temperature","301.54"
"Mean mixed layer mixing ratio","17.36"
"1000 hPa to 500 hPa thickness","5785.00"
"Precipitable water [mm] for entire sounding","55.46"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150327/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.70"
"Lifted index","0.54"
"LIFT computed using virtual temperature","0.42"
"SWEAT index","189.21"
"K index","33.40"
"Cross totals index","19.60"
"Vertical totals index","23.90"
"Totals totals index","43.50"
"Convective Available Potential Energy","0.03"
"CAPE using virtual temperature","2.06"
"Convective Inhibition","-251.69"
"CINS using virtual temperature","-203.20"
"Equilibrum Level","530.14"
"Equilibrum Level using virtual temperature","524.10"
"Level of Free Convection","534.23"
"LFCT using virtual temperature","588.03"
"Bulk Richardson Number","0.01"
"Bulk Richardson Number using CAPV","0.40"
"Temp [K] of the Lifted Condensation Level","290.87"
"Pres [hPa] of the Lifted Condensation Level","899.67"
"Mean mixed layer potential temperature","299.80"
"Mean mixed layer mixing ratio","14.42"
"1000 hPa to 500 hPa thickness","5785.00"
"Precipitable water [mm] for entire sounding","51.77"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150327/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.30"
"Lifted index","-3.84"
"LIFT computed using virtual temperature","-4.21"
"SWEAT index","218.81"
"K index","37.70"
"Cross totals index","22.20"
"Vertical totals index","22.50"
"Totals totals index","44.70"
"Convective Available Potential Energy","1514.19"
"CAPE using virtual temperature","1657.99"
"Convective Inhibition","-1.51"
"CINS using virtual temperature","-0.77"
"Equilibrum Level","148.98"
"Equilibrum Level using virtual temperature","148.84"
"Level of Free Convection","936.37"
"LFCT using virtual temperature","942.65"
"Bulk Richardson Number","1750.45"
"Bulk Richardson Number using CAPV","1916.69"
"Temp [K] of the Lifted Condensation Level","296.14"
"Pres [hPa] of the Lifted Condensation Level","961.18"
"Mean mixed layer potential temperature","299.53"
"Mean mixed layer mixing ratio","18.81"
"1000 hPa to 500 hPa thickness","5780.00"
"Precipitable water [mm] for entire sounding","62.13"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150328/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.78"
"Lifted index","0.76"
"LIFT computed using virtual temperature","0.36"
"SWEAT index","184.81"
"K index","28.80"
"Cross totals index","18.60"
"Vertical totals index","22.90"
"Totals totals index","41.50"
"Convective Available Potential Energy","26.86"
"CAPE using virtual temperature","65.79"
"Convective Inhibition","-275.21"
"CINS using virtual temperature","-222.53"
"Equilibrum Level","315.11"
"Equilibrum Level using virtual temperature","314.19"
"Level of Free Convection","575.01"
"LFCT using virtual temperature","629.17"
"Bulk Richardson Number","14.70"
"Bulk Richardson Number using CAPV","36.02"
"Temp [K] of the Lifted Condensation Level","292.30"
"Pres [hPa] of the Lifted Condensation Level","926.27"
"Mean mixed layer potential temperature","298.78"
"Mean mixed layer mixing ratio","15.34"
"1000 hPa to 500 hPa thickness","5782.00"
"Precipitable water [mm] for entire sounding","49.14"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150328/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","2.44"
"Lifted index","-3.74"
"LIFT computed using virtual temperature","-4.29"
"SWEAT index","176.41"
"K index","31.70"
"Cross totals index","17.30"
"Vertical totals index","24.30"
"Totals totals index","41.60"
"Convective Available Potential Energy","1426.90"
"CAPE using virtual temperature","1643.64"
"Convective Inhibition","-35.79"
"CINS using virtual temperature","-19.37"
"Equilibrum Level","149.23"
"Equilibrum Level using virtual temperature","149.22"
"Level of Free Convection","809.76"
"LFCT using virtual temperature","868.69"
"Bulk Richardson Number","185.60"
"Bulk Richardson Number using CAPV","213.79"
"Temp [K] of the Lifted Condensation Level","295.10"
"Pres [hPa] of the Lifted Condensation Level","930.91"
"Mean mixed layer potential temperature","301.22"
"Mean mixed layer mixing ratio","18.21"
"1000 hPa to 500 hPa thickness","5794.00"
"Precipitable water [mm] for entire sounding","49.27"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150329/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.96"
"Lifted index","0.47"
"LIFT computed using virtual temperature","0.27"
"SWEAT index","178.81"
"K index","26.10"
"Cross totals index","18.70"
"Vertical totals index","25.70"
"Totals totals index","44.40"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","290.64"
"Pres [hPa] of the Lifted Condensation Level","905.43"
"Mean mixed layer potential temperature","299.03"
"Mean mixed layer mixing ratio","14.11"
"1000 hPa to 500 hPa thickness","5793.00"
"Precipitable water [mm] for entire sounding","45.24"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150329/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-2.83"
"Lifted index","-4.16"
"LIFT computed using virtual temperature","-4.87"
"SWEAT index","230.40"
"K index","36.90"
"Cross totals index","22.90"
"Vertical totals index","23.70"
"Totals totals index","46.60"
"Convective Available Potential Energy","1966.81"
"CAPE using virtual temperature","2158.49"
"Convective Inhibition","-18.18"
"CINS using virtual temperature","-12.33"
"Equilibrum Level","131.10"
"Equilibrum Level using virtual temperature","130.98"
"Level of Free Convection","866.52"
"LFCT using virtual temperature","878.34"
"Bulk Richardson Number","166.36"
"Bulk Richardson Number using CAPV","182.57"
"Temp [K] of the Lifted Condensation Level","295.40"
"Pres [hPa] of the Lifted Condensation Level","924.77"
"Mean mixed layer potential temperature","302.10"
"Mean mixed layer mixing ratio","18.69"
"1000 hPa to 500 hPa thickness","5894.00"
"Precipitable water [mm] for entire sounding","59.41"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150330/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-2.21"
"Lifted index","-2.74"
"LIFT computed using virtual temperature","-3.12"
"SWEAT index","228.60"
"K index","30.10"
"Cross totals index","23.30"
"Vertical totals index","23.30"
"Totals totals index","46.60"
"Convective Available Potential Energy","432.78"
"CAPE using virtual temperature","538.69"
"Convective Inhibition","-12.96"
"CINS using virtual temperature","-14.25"
"Equilibrum Level","255.34"
"Equilibrum Level using virtual temperature","255.47"
"Level of Free Convection","876.91"
"LFCT using virtual temperature","876.65"
"Bulk Richardson Number","38.97"
"Bulk Richardson Number using CAPV","48.51"
"Temp [K] of the Lifted Condensation Level","294.08"
"Pres [hPa] of the Lifted Condensation Level","944.59"
"Mean mixed layer potential temperature","298.92"
"Mean mixed layer mixing ratio","16.81"
"1000 hPa to 500 hPa thickness","5764.00"
"Precipitable water [mm] for entire sounding","52.53"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150330/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.90"
"Lifted index","-3.73"
"LIFT computed using virtual temperature","-4.53"
"SWEAT index","228.01"
"K index","38.50"
"Cross totals index","21.90"
"Vertical totals index","24.10"
"Totals totals index","46.00"
"Convective Available Potential Energy","1483.12"
"CAPE using virtual temperature","1658.27"
"Convective Inhibition","-42.04"
"CINS using virtual temperature","-33.39"
"Equilibrum Level","140.95"
"Equilibrum Level using virtual temperature","140.94"
"Level of Free Convection","831.51"
"LFCT using virtual temperature","851.82"
"Bulk Richardson Number","54.74"
"Bulk Richardson Number using CAPV","61.21"
"Temp [K] of the Lifted Condensation Level","294.70"
"Pres [hPa] of the Lifted Condensation Level","917.09"
"Mean mixed layer potential temperature","302.10"
"Mean mixed layer mixing ratio","18.04"
"1000 hPa to 500 hPa thickness","5804.00"
"Precipitable water [mm] for entire sounding","57.95"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150303/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.01"
"Lifted index","-3.17"
"LIFT computed using virtual temperature","-3.43"
"SWEAT index","216.81"
"K index","36.50"
"Cross totals index","20.80"
"Vertical totals index","23.30"
"Totals totals index","44.10"
"Convective Available Potential Energy","1091.87"
"CAPE using virtual temperature","1203.67"
"Convective Inhibition","-5.57"
"CINS using virtual temperature","-2.60"
"Equilibrum Level","140.93"
"Equilibrum Level using virtual temperature","140.94"
"Level of Free Convection","914.59"
"LFCT using virtual temperature","924.20"
"Bulk Richardson Number","199.59"
"Bulk Richardson Number using CAPV","220.03"
"Temp [K] of the Lifted Condensation Level","294.36"
"Pres [hPa] of the Lifted Condensation Level","934.62"
"Mean mixed layer potential temperature","300.11"
"Mean mixed layer mixing ratio","17.31"
"1000 hPa to 500 hPa thickness","5772.00"
"Precipitable water [mm] for entire sounding","58.94"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150331/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.24"
"Lifted index","-2.40"
"LIFT computed using virtual temperature","-2.82"
"SWEAT index","205.61"
"K index","36.90"
"Cross totals index","21.40"
"Vertical totals index","24.90"
"Totals totals index","46.30"
"Convective Available Potential Energy","359.95"
"CAPE using virtual temperature","453.77"
"Convective Inhibition","-84.78"
"CINS using virtual temperature","-69.26"
"Equilibrum Level","256.98"
"Equilibrum Level using virtual temperature","255.08"
"Level of Free Convection","741.34"
"LFCT using virtual temperature","763.60"
"Bulk Richardson Number","72.72"
"Bulk Richardson Number using CAPV","91.68"
"Temp [K] of the Lifted Condensation Level","294.15"
"Pres [hPa] of the Lifted Condensation Level","945.43"
"Mean mixed layer potential temperature","298.91"
"Mean mixed layer mixing ratio","16.87"
"1000 hPa to 500 hPa thickness","5776.00"
"Precipitable water [mm] for entire sounding","56.47"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150331/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-2.85"
"Lifted index","-4.42"
"LIFT computed using virtual temperature","-5.13"
"SWEAT index","235.61"
"K index","38.80"
"Cross totals index","23.10"
"Vertical totals index","23.90"
"Totals totals index","47.00"
"Convective Available Potential Energy","1763.91"
"CAPE using virtual temperature","1938.53"
"Convective Inhibition","-9.27"
"CINS using virtual temperature","-5.25"
"Equilibrum Level","134.63"
"Equilibrum Level using virtual temperature","133.16"
"Level of Free Convection","899.50"
"LFCT using virtual temperature","914.43"
"Bulk Richardson Number","546.28"
"Bulk Richardson Number using CAPV","600.36"
"Temp [K] of the Lifted Condensation Level","295.71"
"Pres [hPa] of the Lifted Condensation Level","939.12"
